Дата і час,Температура повітря,Температура точки роси,Опади,Атмосферний тиск,Напрямок вітру,Швидкість вітру,Радіаційний фон,
01.06.2025 6:00,11.0,7.7,,,270,5,,
01.06.2025 3:00,10.6,7.3,,,290,5,,
01.06.2025 0:00,9.8,8.0,,,0,0,,
31.05.2025 21:00,10.9,8.5,,,250,4,,
31.05.2025 18:00,13.2,8.0,,,0,0,,
31.05.2025 15:00,13.2,5.8,,,20,6,,
31.05.2025 12:00,12.2,5.0,,,290,7,,
31.05.2025 9:00,8.4,4.1,,,0,0,,
31.05.2025 6:00,4.9,1.9,,,290,1,,
31.05.2025 3:00,5.2,2.0,,,290,2,,
31.05.2025 0:00,6.2,3.1,,,0,0,,
30.05.2025 21:00,8.3,4.5,,,0,0,,
30.05.2025 18:00,9.7,5.3,,,320,3,,
30.05.2025 15:00,9.5,2.7,,,320,3,,
30.05.2025 12:00,7.5,3.0,,,70,3,,
30.05.2025 9:00,4.5,2.0,.7 (12),,320,5,,
30.05.2025 6:00,3.4,2.9,,,320,7,,
30.05.2025 3:00,5.4,5.2,.7 (6),,320,5,,
30.05.2025 0:00,5.9,5.7,,,340,3,,
29.05.2025 21:00,6.6,6.2,3.0 (12),,0,0,,
29.05.2025 18:00,7.2,6.5,,,290,4,,
29.05.2025 15:00,7.6,7.1,.4 (6),,0,0,,
29.05.2025 12:00,7.6,6.7,,,290,2,,
29.05.2025 9:00,7.0,5.6,4.0 (12),,290,2,,
29.05.2025 6:00,6.8,5.7,,,270,3,,
29.05.2025 3:00,6.2,5.3,2.0 (6),,250,4,,
29.05.2025 0:00,5.4,5.2,,,290,4,,
28.05.2025 21:00,5.0,4.5,6.0 (12),,270,4,,
28.05.2025 18:00,5.0,4.5,,,290,7,,
28.05.2025 15:00,4.8,3.8,.4 (6),,270,7,,
28.05.2025 12:00,5.0,4.5,,,290,1,,
28.05.2025 9:00,4.6,4.1,3.0 (12),,290,9,,
28.05.2025 6:00,4.9,4.4,,,290,7,,
28.05.2025 3:00,5.4,4.5,,,50,1,,
28.05.2025 0:00,4.8,3.6,,,50,3,,
27.05.2025 21:00,4.9,4.0,3.0 (12),,140,1,,
27.05.2025 18:00,5.4,4.7,,,140,6,,
27.05.2025 15:00,5.2,3.8,1.0 (6),,140,3,,
27.05.2025 12:00,5.6,4.0,,,20,2,,
27.05.2025 9:00,4.8,3.3,,,340,2,,
27.05.2025 6:00,4.5,4.0,,,140,1,,
27.05.2025 3:00,4.3,3.1,,,320,2,,
27.05.2025 0:00,4.6,4.1,,,320,1,,
26.05.2025 21:00,4.9,3.2,,,340,2,,
26.05.2025 18:00,6.6,5.0,,,320,1,,
26.05.2025 15:00,4.9,4.2,,,0,0,,
26.05.2025 12:00,3.6,3.1,,,0,0,,
26.05.2025 9:00,2.2,1.7,1.0 (12),,0,0,,
26.05.2025 6:00,1.6,1.3,,,270,1,,
26.05.2025 3:00,2.0,2.0,,,0,0,,
26.05.2025 0:00,1.8,1.8,,,0,0,,
25.05.2025 21:00,2.6,2.6,5.0 (12),,0,0,,
25.05.2025 18:00,3.1,2.8,,,0,0,,
25.05.2025 15:00,2.2,1.9,4.0 (6),,0,0,,
25.05.2025 12:00,1.6,1.3,,,0,0,,
