Дата і час,Температура повітря,Температура точки роси,Опади,Атмосферний тиск,Напрямок вітру,Швидкість вітру,Радіаційний фон,
29.05.2025 6:00,6.8,5.7,,,270,3,,
29.05.2025 3:00,6.2,5.3,2.0 (6),,250,4,,
29.05.2025 0:00,5.4,5.2,,,290,4,,
28.05.2025 21:00,5.0,4.5,6.0 (12),,270,4,,
28.05.2025 18:00,5.0,4.5,,,290,7,,
28.05.2025 15:00,4.8,3.8,.4 (6),,270,7,,
28.05.2025 12:00,5.0,4.5,,,290,1,,
28.05.2025 9:00,4.6,4.1,3.0 (12),,290,9,,
28.05.2025 6:00,4.9,4.4,,,290,7,,
28.05.2025 3:00,5.4,4.5,,,50,1,,
28.05.2025 0:00,4.8,3.6,,,50,3,,
27.05.2025 21:00,4.9,4.0,3.0 (12),,140,1,,
27.05.2025 18:00,5.4,4.7,,,140,6,,
27.05.2025 15:00,5.2,3.8,1.0 (6),,140,3,,
27.05.2025 12:00,5.6,4.0,,,20,2,,
27.05.2025 9:00,4.8,3.3,,,340,2,,
27.05.2025 6:00,4.5,4.0,,,140,1,,
27.05.2025 3:00,4.3,3.1,,,320,2,,
27.05.2025 0:00,4.6,4.1,,,320,1,,
26.05.2025 21:00,4.9,3.2,,,340,2,,
26.05.2025 18:00,6.6,5.0,,,320,1,,
26.05.2025 15:00,4.9,4.2,,,0,0,,
26.05.2025 12:00,3.6,3.1,,,0,0,,
26.05.2025 9:00,2.2,1.7,1.0 (12),,0,0,,
26.05.2025 6:00,1.6,1.3,,,270,1,,
26.05.2025 3:00,2.0,2.0,,,0,0,,
26.05.2025 0:00,1.8,1.8,,,0,0,,
25.05.2025 21:00,2.6,2.6,5.0 (12),,0,0,,
25.05.2025 18:00,3.1,2.8,,,0,0,,
25.05.2025 15:00,2.2,1.9,4.0 (6),,0,0,,
25.05.2025 12:00,1.6,1.3,,,0,0,,
25.05.2025 9:00,.1,-.2,10.0 (12),,0,0,,
25.05.2025 6:00,.4,.1,,,0,0,,
25.05.2025 3:00,1.5,1.5,2.0 (6),,0,0,,
25.05.2025 0:00,2.0,2.0,,,0,0,,
24.05.2025 21:00,2.8,2.8,2.0 (12),,0,0,,
24.05.2025 18:00,5.1,3.9,,,270,1,,
24.05.2025 15:00,4.3,3.8,2.0 (6),,270,2,,
24.05.2025 12:00,6.0,4.6,,,230,4,,
24.05.2025 9:00,5.6,5.1,16.0 (12),,270,2,,
24.05.2025 6:00,6.5,6.1,,,0,0,,
24.05.2025 3:00,4.8,4.3,5.0 (6),,0,0,,
24.05.2025 0:00,6.8,6.4,,,0,0,,
23.05.2025 21:00,8.0,.0,14.0 (12),,0,0,,
23.05.2025 18:00,9.1,8.6,,,0,0,,
23.05.2025 15:00,8.8,7.7,9.0 (6),,270,3,,
23.05.2025 12:00,13.7,12.1,,,270,2,,
23.05.2025 9:00,9.4,7.1,,,270,1,,
23.05.2025 6:00,8.2,5.8,,,230,5,,
23.05.2025 3:00,8.6,7.1,,,250,7,,
23.05.2025 0:00,8.8,7.3,,,250,4,,
22.05.2025 21:00,9.2,7.3,1.0 (12),,250,3,,
22.05.2025 18:00,10.8,7.3,,,270,3,,
22.05.2025 15:00,12.9,4.6,1.0 (6),,270,1,,
22.05.2025 12:00,9.3,7.1,,,250,3,,
22.05.2025 9:00,9.0,4.8,,,250,2,,
